Source,Target,Weight
Cowboy Bebop,Koukaku Kidoutai: Stand Alone Complex,0.75
Cowboy Bebop,DT Eightron,0.75
Trigun,DT Eightron,0.75
Trigun,Black Cat (TV),0.75
Trigun,Last Exile,0.75
Trigun,Gad Guard,0.75
Trigun,Sakura Taisen,0.75
Trigun,Yuusha-Ou GaoGaiGar,0.75
Trigun,Transformers: Choujin Master Force,0.75
Trigun,Transformers: The☆Headmasters,0.75
Trigun,Tatakae! Chou Robot Seimeitai Transformers Victory,0.75
Trigun,The Third: Aoi Hitomi no Shoujo,0.75
Trigun,Daikuu Maryuu Gaiking,0.75
Trigun,Heat Guy J,0.75
Trigun,Astro Boy: Tetsuwan Atom,0.75
Trigun,Oban Star-Racers,0.75
Trigun,SF Saiyuuki Starzinger,0.75
Trigun,Uchuu no Kishi Tekkaman,0.75
Trigun,Genshi Shounen Ryuu,0.75
Trigun,Brain Powerd,1.0
Trigun,Eat-Man '98,0.75
Trigun,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),0.75
Brain Powerd,DT Eightron,0.75
Brain Powerd,Black Cat (TV),0.75
Brain Powerd,Last Exile,0.75
Brain Powerd,Gad Guard,0.75
Brain Powerd,Sakura Taisen,0.75
Brain Powerd,Yuusha-Ou GaoGaiGar,0.75
Brain Powerd,Transformers: Choujin Master Force,0.75
Brain Powerd,Transformers: The☆Headmasters,0.75
Brain Powerd,Tatakae! Chou Robot Seimeitai Transformers Victory,0.75
Brain Powerd,The Third: Aoi Hitomi no Shoujo,0.75
Brain Powerd,Daikuu Maryuu Gaiking,0.75
Brain Powerd,Heat Guy J,0.75
Brain Powerd,Astro Boy: Tetsuwan Atom,0.75
Brain Powerd,Oban Star-Racers,0.75
Brain Powerd,SF Saiyuuki Starzinger,0.75
Brain Powerd,Uchuu no Kishi Tekkaman,0.75
Brain Powerd,Genshi Shounen Ryuu,0.75
Brain Powerd,Eat-Man '98,0.75
Brain Powerd,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),0.75
Brain Powerd,Trigun,1.0
Cowboy Bebop: Tengoku no Tobira,Appleseed (Movie),0.75
Cowboy Bebop: Tengoku no Tobira,Armitage III: Dual-Matrix,0.75
Cowboy Bebop: Tengoku no Tobira,Venus Senki,0.75
Cowboy Bebop: Tengoku no Tobira,Dead Leaves,0.75
Cowboy Bebop: Tengoku no Tobira,Macross: Do You Remember Love?,0.75
Cowboy Bebop: Tengoku no Tobira,Kidou Senshi Gundam II: Ai Senshi-hen,0.75
Cowboy Bebop: Tengoku no Tobira,Tenchi Muyou! Manatsu no Eve,0.75
Cowboy Bebop: Tengoku no Tobira,Gundress,1.0
Kidou Senkan Nadesico: The Prince of Darkness,Appleseed (Movie),0.8
Kidou Senkan Nadesico: The Prince of Darkness,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Kidou Senkan Nadesico: The Prince of Darkness,Ouritsu Uchuugun: Honneamise no Tsubasa,1.0
Wonderful Days,Appleseed (Movie),0.8
Wonderful Days,Macross: Do You Remember Love?,0.8
Wonderful Days,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Wonderful Days,RahXephon: Tagen Hensoukyoku,1.0
Wonderful Days,Vampire Hunter D (2000),0.71
Wonderful Days,Initial D Third Stage,0.8
Wonderful Days,Windaria,0.83
Wonderful Days,Fushigi no Umi no Nadia: Original Movie,0.71
Steamboy,Appleseed (Movie),0.8
Steamboy,Armitage III: Dual-Matrix,0.8
Steamboy,Venus Senki,0.8
Steamboy,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Steamboy,Genma Taisen,0.83
Steamboy,Kidou Senshi Gundam I,1.0
Steamboy,Kidou Senshi Gundam III: Meguriai Sora-hen,1.0
Steamboy,Odin: Koushi Hansen Starlight,1.0
Steamboy,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,0.83
Steamboy,Fushigi no Umi no Nadia: Original Movie,0.71
RahXephon: Tagen Hensoukyoku,Appleseed (Movie),0.8
RahXephon: Tagen Hensoukyoku,Macross: Do You Remember Love?,0.8
RahXephon: Tagen Hensoukyoku,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
RahXephon: Tagen Hensoukyoku,Wonderful Days,1.0
RahXephon: Tagen Hensoukyoku,Vampire Hunter D (2000),0.71
RahXephon: Tagen Hensoukyoku,Initial D Third Stage,0.8
RahXephon: Tagen Hensoukyoku,Windaria,0.83
RahXephon: Tagen Hensoukyoku,Fushigi no Umi no Nadia: Original Movie,0.71
Street Fighter Zero The Animation,Appleseed (Movie),0.75
Street Fighter Zero The Animation,Kidou Senshi Gundam II: Ai Senshi-hen,0.75
Street Fighter Zero The Animation,Initial D Third Stage,0.75
Ouritsu Uchuugun: Honneamise no Tsubasa,Appleseed (Movie),0.8
Ouritsu Uchuugun: Honneamise no Tsubasa,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Ouritsu Uchuugun: Honneamise no Tsubasa,Kidou Senkan Nadesico: The Prince of Darkness,1.0
Kidou Senshi Gundam I,Appleseed (Movie),0.8
Kidou Senshi Gundam I,Armitage III: Dual-Matrix,0.8
Kidou Senshi Gundam I,Venus Senki,0.8
Kidou Senshi Gundam I,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Kidou Senshi Gundam I,Genma Taisen,0.83
Kidou Senshi Gundam I,Steamboy,1.0
Kidou Senshi Gundam I,Kidou Senshi Gundam III: Meguriai Sora-hen,1.0
Kidou Senshi Gundam I,Odin: Koushi Hansen Starlight,1.0
Kidou Senshi Gundam I,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,0.83
Kidou Senshi Gundam I,Fushigi no Umi no Nadia: Original Movie,0.71
Kidou Senshi Gundam II: Ai Senshi-hen,Appleseed (Movie),1.0
Kidou Senshi Gundam II: Ai Senshi-hen,Gundress,0.75
Kidou Senshi Gundam II: Ai Senshi-hen,Cowboy Bebop: Tengoku no Tobira,0.75
Kidou Senshi Gundam II: Ai Senshi-hen,Kidou Senkan Nadesico: The Prince of Darkness,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,Wonderful Days,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,Steamboy,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,RahXephon: Tagen Hensoukyoku,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,Street Fighter Zero The Animation,0.75
Kidou Senshi Gundam II: Ai Senshi-hen,Ouritsu Uchuugun: Honneamise no Tsubasa,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,Kidou Senshi Gundam I,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,Kidou Senshi Gundam III: Meguriai Sora-hen,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,Odin: Koushi Hansen Starlight,0.8
Kidou Senshi Gundam III: Meguriai Sora-hen,Appleseed (Movie),0.8
Kidou Senshi Gundam III: Meguriai Sora-hen,Armitage III: Dual-Matrix,0.8
Kidou Senshi Gundam III: Meguriai Sora-hen,Venus Senki,0.8
Kidou Senshi Gundam III: Meguriai Sora-hen,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Kidou Senshi Gundam III: Meguriai Sora-hen,Genma Taisen,0.83
Kidou Senshi Gundam III: Meguriai Sora-hen,Steamboy,1.0
Kidou Senshi Gundam III: Meguriai Sora-hen,Kidou Senshi Gundam I,1.0
Kidou Senshi Gundam III: Meguriai Sora-hen,Odin: Koushi Hansen Starlight,1.0
Kidou Senshi Gundam III: Meguriai Sora-hen,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,0.83
Kidou Senshi Gundam III: Meguriai Sora-hen,Fushigi no Umi no Nadia: Original Movie,0.71
Gundress,Appleseed (Movie),0.75
Gundress,Armitage III: Dual-Matrix,0.75
Gundress,Venus Senki,0.75
Gundress,Dead Leaves,0.75
Gundress,Macross: Do You Remember Love?,0.75
Gundress,Kidou Senshi Gundam II: Ai Senshi-hen,0.75
Gundress,Tenchi Muyou! Manatsu no Eve,0.75
Gundress,Cowboy Bebop: Tengoku no Tobira,1.0
Odin: Koushi Hansen Starlight,Appleseed (Movie),0.8
Odin: Koushi Hansen Starlight,Armitage III: Dual-Matrix,0.8
Odin: Koushi Hansen Starlight,Venus Senki,0.8
Odin: Koushi Hansen Starlight,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Odin: Koushi Hansen Starlight,Genma Taisen,0.83
Odin: Koushi Hansen Starlight,Steamboy,1.0
Odin: Koushi Hansen Starlight,Kidou Senshi Gundam I,1.0
Odin: Koushi Hansen Starlight,Kidou Senshi Gundam III: Meguriai Sora-hen,1.0
Odin: Koushi Hansen Starlight,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,0.83
Odin: Koushi Hansen Starlight,Fushigi no Umi no Nadia: Original Movie,0.71
Project A-Ko,Armitage III: Dual-Matrix,0.8
Project A-Ko,Venus Senki,0.8
Project A-Ko,Dead Leaves,0.8
Project A-Ko,Tenchi Muyou! Manatsu no Eve,0.8
Project A-Ko,eX-Driver the Movie,1.0
Project A-Ko,Dragon Ball Movie 2: Majinjou no Nemurihime,0.83
Project A-Ko,Dragon Ball Movie 3: Makafushigi Daibouken,0.83
Project A-Ko,Dragon Ball Movie 4: Saikyou e no Michi,0.83
Project A-Ko,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,0.83
Project A-Ko,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,0.83
Project A-Ko,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,0.83
Project A-Ko,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,0.83
Project A-Ko,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,0.83
Project A-Ko,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,0.83
Project A-Ko,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",0.83
Project A-Ko,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,0.83
Project A-Ko,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,0.83
Project A-Ko,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,0.83
Project A-Ko,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,0.83
Project A-Ko,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,0.83
eX-Driver the Movie,Armitage III: Dual-Matrix,0.8
eX-Driver the Movie,Venus Senki,0.8
eX-Driver the Movie,Dead Leaves,0.8
eX-Driver the Movie,Tenchi Muyou! Manatsu no Eve,0.8
eX-Driver the Movie,Dragon Ball Movie 2: Majinjou no Nemurihime,0.83
eX-Driver the Movie,Dragon Ball Movie 3: Makafushigi Daibouken,0.83
eX-Driver the Movie,Dragon Ball Movie 4: Saikyou e no Michi,0.83
eX-Driver the Movie,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,0.83
eX-Driver the Movie,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,0.83
eX-Driver the Movie,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,0.83
eX-Driver the Movie,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,0.83
eX-Driver the Movie,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,0.83
eX-Driver the Movie,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,0.83
eX-Driver the Movie,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",0.83
eX-Driver the Movie,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,0.83
eX-Driver the Movie,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,0.83
eX-Driver the Movie,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,0.83
eX-Driver the Movie,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,0.83
eX-Driver the Movie,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,0.83
eX-Driver the Movie,Project A-Ko,1.0
Armitage III: Poly-Matrix,Armitage III: Dual-Matrix,0.8
Armitage III: Poly-Matrix,Venus Senki,0.8
Armitage III: Poly-Matrix,Macross: Do You Remember Love?,0.8
Armitage III: Poly-Matrix,Macross Plus Movie Edition,1.0
Armitage III: Poly-Matrix,Fushigi no Umi no Nadia: Original Movie,0.71
Venus Senki,Armitage III: Dual-Matrix,1.0
Venus Senki,Gundress,0.75
Venus Senki,Cowboy Bebop: Tengoku no Tobira,0.75
Venus Senki,Steamboy,0.8
Venus Senki,Kidou Senshi Gundam I,0.8
Venus Senki,Kidou Senshi Gundam III: Meguriai Sora-hen,0.8
Venus Senki,Odin: Koushi Hansen Starlight,0.8
Venus Senki,eX-Driver the Movie,0.8
Venus Senki,Project A-Ko,0.8
Venus Senki,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,0.8
Venus Senki,Saint Seiya: Tenkai-hen Josou - Overture,0.8
Venus Senki,Armitage III: Poly-Matrix,0.8
Venus Senki,Macross Plus Movie Edition,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Armitage III: Dual-Matrix,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Venus Senki,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,One Piece Movie 01,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,One Piece Movie 02: Nejimaki-jima no Daibouken,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,One Piece Movie 04: Dead End no Bouken,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,One Piece Movie 05: Norowareta Seiken,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,One Piece Movie 07: Karakuri-jou no Mecha Kyohei,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,0.8
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Movie 2: Majinjou no Nemurihime,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Movie 3: Makafushigi Daibouken,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Movie 4: Saikyou e no Michi,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,0.83
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Saint Seiya: Tenkai-hen Josou - Overture,1.0
Macross Plus Movie Edition,Armitage III: Dual-Matrix,0.8
Macross Plus Movie Edition,Venus Senki,0.8
Macross Plus Movie Edition,Macross: Do You Remember Love?,0.8
Macross Plus Movie Edition,Armitage III: Poly-Matrix,1.0
Macross Plus Movie Edition,Fushigi no Umi no Nadia: Original Movie,0.71
Saint Seiya: Tenkai-hen Josou - Overture,Armitage III: Dual-Matrix,0.8
Saint Seiya: Tenkai-hen Josou - Overture,Venus Senki,0.8
Saint Seiya: Tenkai-hen Josou - Overture,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,0.8
Saint Seiya: Tenkai-hen Josou - Overture,One Piece Movie 01,0.8
Saint Seiya: Tenkai-hen Josou - Overture,One Piece Movie 02: Nejimaki-jima no Daibouken,0.8
Saint Seiya: Tenkai-hen Josou - Overture,One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,0.8
Saint Seiya: Tenkai-hen Josou - Overture,One Piece Movie 04: Dead End no Bouken,0.8
Saint Seiya: Tenkai-hen Josou - Overture,One Piece Movie 05: Norowareta Seiken,0.8
Saint Seiya: Tenkai-hen Josou - Overture,One Piece Movie 07: Karakuri-jou no Mecha Kyohei,0.8
Saint Seiya: Tenkai-hen Josou - Overture,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,0.8
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Movie 2: Majinjou no Nemurihime,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Movie 3: Makafushigi Daibouken,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Movie 4: Saikyou e no Michi,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,0.83
Saint Seiya: Tenkai-hen Josou - Overture,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,0.83
Saint Seiya: Tenkai-hen Josou - Overture,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,1.0
Armitage III: Dual-Matrix,Venus Senki,1.0
Armitage III: Dual-Matrix,Gundress,0.75
Armitage III: Dual-Matrix,Cowboy Bebop: Tengoku no Tobira,0.75
Armitage III: Dual-Matrix,Steamboy,0.8
Armitage III: Dual-Matrix,Kidou Senshi Gundam I,0.8
Armitage III: Dual-Matrix,Kidou Senshi Gundam III: Meguriai Sora-hen,0.8
Armitage III: Dual-Matrix,Odin: Koushi Hansen Starlight,0.8
Armitage III: Dual-Matrix,eX-Driver the Movie,0.8
Armitage III: Dual-Matrix,Project A-Ko,0.8
Armitage III: Dual-Matrix,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,0.8
Armitage III: Dual-Matrix,Saint Seiya: Tenkai-hen Josou - Overture,0.8
Armitage III: Dual-Matrix,Armitage III: Poly-Matrix,0.8
Armitage III: Dual-Matrix,Macross Plus Movie Edition,0.8
Tenchi Muyou! in Love,Dead Leaves,0.8
Tenchi Muyou! in Love,Macross: Do You Remember Love?,0.8
Tenchi Muyou! in Love,Tenchi Muyou! Manatsu no Eve,0.8
Tenchi Muyou! Manatsu no Eve,Dead Leaves,1.0
Tenchi Muyou! Manatsu no Eve,Gundress,0.75
Tenchi Muyou! Manatsu no Eve,Cowboy Bebop: Tengoku no Tobira,0.75
Tenchi Muyou! Manatsu no Eve,eX-Driver the Movie,0.8
Tenchi Muyou! Manatsu no Eve,Project A-Ko,0.8
Tenchi Muyou! Manatsu no Eve,Tenchi Muyou! in Love,0.8
Appleseed (Movie),Kidou Senshi Gundam II: Ai Senshi-hen,1.0
Appleseed (Movie),Gundress,0.75
Appleseed (Movie),Cowboy Bebop: Tengoku no Tobira,0.75
Appleseed (Movie),Kidou Senkan Nadesico: The Prince of Darkness,0.8
Appleseed (Movie),Wonderful Days,0.8
Appleseed (Movie),Steamboy,0.8
Appleseed (Movie),RahXephon: Tagen Hensoukyoku,0.8
Appleseed (Movie),Street Fighter Zero The Animation,0.75
Appleseed (Movie),Ouritsu Uchuugun: Honneamise no Tsubasa,0.8
Appleseed (Movie),Kidou Senshi Gundam I,0.8
Appleseed (Movie),Kidou Senshi Gundam III: Meguriai Sora-hen,0.8
Appleseed (Movie),Odin: Koushi Hansen Starlight,0.8
Dead Leaves,Tenchi Muyou! Manatsu no Eve,1.0
Dead Leaves,Gundress,0.75
Dead Leaves,Cowboy Bebop: Tengoku no Tobira,0.75
Dead Leaves,eX-Driver the Movie,0.8
Dead Leaves,Project A-Ko,0.8
Dead Leaves,Tenchi Muyou! in Love,0.8
Macross: Do You Remember Love?,Gundress,0.75
Macross: Do You Remember Love?,Cowboy Bebop: Tengoku no Tobira,0.75
Macross: Do You Remember Love?,Wonderful Days,0.8
Macross: Do You Remember Love?,RahXephon: Tagen Hensoukyoku,0.8
Macross: Do You Remember Love?,Armitage III: Poly-Matrix,0.8
Macross: Do You Remember Love?,Macross Plus Movie Edition,0.8
Macross: Do You Remember Love?,Tenchi Muyou! in Love,0.8
Last Exile,Black Cat (TV),0.75
Last Exile,Gad Guard,1.0
Last Exile,Sakura Taisen,0.75
Last Exile,Yuusha-Ou GaoGaiGar,0.75
Last Exile,Transformers: Choujin Master Force,0.75
Last Exile,Transformers: The☆Headmasters,0.75
Last Exile,Tatakae! Chou Robot Seimeitai Transformers Victory,0.75
Last Exile,The Third: Aoi Hitomi no Shoujo,0.75
Last Exile,Daikuu Maryuu Gaiking,0.75
Last Exile,Heat Guy J,0.75
Last Exile,Astro Boy: Tetsuwan Atom,1.0
Last Exile,Oban Star-Racers,0.75
Last Exile,SF Saiyuuki Starzinger,0.75
Last Exile,Uchuu no Kishi Tekkaman,0.75
Last Exile,Genshi Shounen Ryuu,0.75
Last Exile,Brain Powerd,0.75
Last Exile,Eat-Man '98,0.75
Last Exile,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),0.75
Last Exile,Trigun,0.75
Solty Rei,Black Cat (TV),0.75
Solty Rei,Cluster Edge,0.75
Gad Guard,Black Cat (TV),0.75
Gad Guard,Last Exile,1.0
Gad Guard,Sakura Taisen,0.75
Gad Guard,Yuusha-Ou GaoGaiGar,0.75
Gad Guard,Transformers: Choujin Master Force,0.75
Gad Guard,Transformers: The☆Headmasters,0.75
Gad Guard,Tatakae! Chou Robot Seimeitai Transformers Victory,0.75
Gad Guard,The Third: Aoi Hitomi no Shoujo,0.75
Gad Guard,Daikuu Maryuu Gaiking,0.75
Gad Guard,Heat Guy J,0.75
Gad Guard,Astro Boy: Tetsuwan Atom,1.0
Gad Guard,Oban Star-Racers,0.75
Gad Guard,SF Saiyuuki Starzinger,0.75
Gad Guard,Uchuu no Kishi Tekkaman,0.75
Gad Guard,Genshi Shounen Ryuu,0.75
Gad Guard,Brain Powerd,0.75
Gad Guard,Eat-Man '98,0.75
Gad Guard,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),0.75
Gad Guard,Trigun,0.75
Sakura Taisen,Black Cat (TV),0.75
Sakura Taisen,Last Exile,0.75
Sakura Taisen,Gad Guard,0.75
Sakura Taisen,Yuusha-Ou GaoGaiGar,0.75
Sakura Taisen,Transformers: Choujin Master Force,0.75
Sakura Taisen,Transformers: The☆Headmasters,0.75
Sakura Taisen,Tatakae! Chou Robot Seimeitai Transformers Victory,0.75
Sakura Taisen,The Third: Aoi Hitomi no Shoujo,0.75
Sakura Taisen,Daikuu Maryuu Gaiking,0.75
Sakura Taisen,Heat Guy J,0.75
Sakura Taisen,Astro Boy: Tetsuwan Atom,0.75
Sakura Taisen,Oban Star-Racers,0.75
Sakura Taisen,SF Saiyuuki Starzinger,0.75
Sakura Taisen,Uchuu no Kishi Tekkaman,0.75
Sakura Taisen,Genshi Shounen Ryuu,0.75
Sakura Taisen,Brain Powerd,0.75
Sakura Taisen,Eat-Man '98,0.75
Sakura Taisen,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),0.75
Sakura Taisen,Trigun,0.75
Yuusha-Ou GaoGaiGar,Black Cat (TV),0.75
Yuusha-Ou GaoGaiGar,Last Exile,0.75
Yuusha-Ou GaoGaiGar,Gad Guard,0.75
Yuusha-Ou GaoGaiGar,Sakura Taisen,0.75
Yuusha-Ou GaoGaiGar,Transformers: Choujin Master Force,0.75
Yuusha-Ou GaoGaiGar,Transformers: The☆Headmasters,0.75
Yuusha-Ou GaoGaiGar,Tatakae! Chou Robot Seimeitai Transformers Victory,0.75
Yuusha-Ou GaoGaiGar,The Third: Aoi Hitomi no Shoujo,0.75
Yuusha-Ou GaoGaiGar,Daikuu Maryuu Gaiking,0.75
Yuusha-Ou GaoGaiGar,Heat Guy J,0.75
Yuusha-Ou GaoGaiGar,Astro Boy: Tetsuwan Atom,0.75
Yuusha-Ou GaoGaiGar,Oban Star-Racers,0.75
Yuusha-Ou GaoGaiGar,SF Saiyuuki Starzinger,0.75
Yuusha-Ou GaoGaiGar,Uchuu no Kishi Tekkaman,0.75
Yuusha-Ou GaoGaiGar,Genshi Shounen Ryuu,0.75
Yuusha-Ou GaoGaiGar,Brain Powerd,0.75
Yuusha-Ou GaoGaiGar,Eat-Man '98,0.75
Yuusha-Ou GaoGaiGar,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),0.75
Yuusha-Ou GaoGaiGar,Trigun,0.75
Transformers: Choujin Master Force,Black Cat (TV),0.75
Transformers: Choujin Master Force,Last Exile,0.75
Transformers: Choujin Master Force,Gad Guard,0.75
Transformers: Choujin Master Force,Sakura Taisen,0.75
Transformers: Choujin Master Force,Yuusha-Ou GaoGaiGar,0.75
Transformers: Choujin Master Force,Transformers: The☆Headmasters,0.75
Transformers: Choujin Master Force,Tatakae! Chou Robot Seimeitai Transformers Victory,0.75
Transformers: Choujin Master Force,The Third: Aoi Hitomi no Shoujo,0.75
Transformers: Choujin Master Force,Daikuu Maryuu Gaiking,0.75
Transformers: Choujin Master Force,Heat Guy J,0.75
Transformers: Choujin Master Force,Astro Boy: Tetsuwan Atom,0.75
Transformers: Choujin Master Force,Oban Star-Racers,0.75
